
Episode:188, Reward: -3075.272427
Episode:189, Reward: -3045.084098
Episode:190, Reward: -3029.297356
Episode:191, Reward: -3134.687229
Episode:192, Reward: -3043.955740
Episode:193, Reward: -3077.930186
Episode:194, Reward: -3223.333181
Episode:195, Reward: -3301.021594
Episode:196, Reward: -3103.364531
Episode:197, Reward: -3090.216531
Episode:198, Reward: -3122.480719
Episode:199, Reward: -3177.618360
Episode:200, Reward: -3237.831139
Episode:201, Reward: -3192.969772
Episode:202, Reward: -3152.450546
Episode:203, Reward: -3082.333485
Episode:204, Reward: -3260.424324
Episode:205, Reward: -3068.023323
Episode:206, Reward: -3163.437485
Episode:207, Reward: -3055.021853
Episode:208, Reward: -3192.933473
Episode:209, Reward: -3142.539398
Episode:210, Reward: -3148.472448
Episode:211, Reward: -3048.395890
Episode:212, Reward: -3115.510604
Episode:213, Reward: -3032.772698
Episode:214, Reward: -3032.525828
Episode:215, Reward: -3079.559756
Episode:216, Reward: -3199.531629
Episode:217, Reward: -3188.091774
Episode:218, Reward: -3091.174403
Episode:219, Reward: -3060.266756
Episode:220, Reward: -3219.751668
Episode:221, Reward: -3177.550793
Episode:222, Reward: -3107.378654
Episode:223, Reward: -3140.277289
Episode:224, Reward: -3231.947829
Episode:225, Reward: -3019.082747
Episode:226, Reward: -3056.045293
Episode:227, Reward: -3312.914527
Episode:228, Reward: -3166.525890
Episode:229, Reward: -3028.430331
Episode:230, Reward: -3096.034449
Episode:231, Reward: -3122.988986
Episode:232, Reward: -3142.271327
Episode:233, Reward: -3150.912110
Episode:234, Reward: -3234.660414
Episode:235, Reward: -3096.613344
Episode:236, Reward: -3143.346971
Episode:237, Reward: -3179.273823
Episode:238, Reward: -3108.934567
Episode:239, Reward: -3203.363476
Episode:240, Reward: -3071.359202
Episode:241, Reward: -3230.850167
Episode:242, Reward: -3117.283097
Episode:243, Reward: -3178.499960
Episode:244, Reward: -3142.401463
Episode:245, Reward: -3104.676470
Episode:246, Reward: -3080.952869
Episode:247, Reward: -3115.125769
Episode:248, Reward: -3124.574779
Episode:249, Reward: -3248.366112
Episode:250, Reward: -3132.315066
Episode:251, Reward: -3172.888471
Episode:252, Reward: -3145.679278
Episode:253, Reward: -3107.288502
Episode:254, Reward: -3142.978143
Episode:255, Reward: -2973.908962
Episode:256, Reward: -3070.436120
Episode:257, Reward: -3171.616824
Episode:258, Reward: -3023.583693
Episode:259, Reward: -3071.533309
Episode:260, Reward: -3342.274396
Episode:261, Reward: -3034.988207
Episode:262, Reward: -3130.138744
Episode:263, Reward: -3090.138646
Episode:264, Reward: -3157.075906
Episode:265, Reward: -3121.622591
Episode:266, Reward: -3275.226853
Episode:267, Reward: -3210.041959
Episode:268, Reward: -3132.768673
Episode:269, Reward: -2975.670624
Episode:270, Reward: -3129.021080
Episode:271, Reward: -3178.307590
Episode:272, Reward: -3202.292167
Episode:273, Reward: -3048.088232
Episode:274, Reward: -3123.102067
Episode:275, Reward: -3169.686164
Episode:276, Reward: -3129.555869
Episode:277, Reward: -3048.210362
Episode:278, Reward: -3085.648887
Episode:279, Reward: -3150.313005
Episode:280, Reward: -3097.693962
Episode:281, Reward: -3148.699892
Episode:282, Reward: -3028.105131
Episode:283, Reward: -3192.665138
Episode:284, Reward: -2991.603088
Episode:285, Reward: -3145.507580
Episode:286, Reward: -3050.230214
Episode:287, Reward: -3297.808836
Episode:288, Reward: -3081.058238
Episode:289, Reward: -3101.877040
Episode:290, Reward: -3136.773846
Episode:291, Reward: -3196.684184
Episode:292, Reward: -3137.345064
Episode:293, Reward: -3166.676863
Episode:294, Reward: -3051.214527
Episode:295, Reward: -2961.463164
Episode:296, Reward: -3211.795489
Episode:297, Reward: -3160.325206
Episode:298, Reward: -3091.984734
Episode:299, Reward: -3093.343254
Episode:300, Reward: -3125.297413
Episode:301, Reward: -3155.098932
Episode:302, Reward: -3211.569936
Episode:303, Reward: -2975.775825
Episode:304, Reward: -3215.031660
Episode:305, Reward: -3100.736262
Episode:306, Reward: -3089.940074
Episode:307, Reward: -3082.481612
Episode:308, Reward: -3009.618645
Episode:309, Reward: -3199.561243
Episode:310, Reward: -3160.090274
Episode:311, Reward: -3224.609316
Episode:312, Reward: -3178.336780
Episode:313, Reward: -3090.625472
Episode:314, Reward: -3068.028206
Episode:315, Reward: -3173.914869
Episode:316, Reward: -3055.223433
Episode:317, Reward: -3155.612442
Episode:318, Reward: -3118.659997
Episode:319, Reward: -3076.746765
Episode:320, Reward: -2993.319100
Episode:321, Reward: -3249.418480
Episode:322, Reward: -3069.238024
Episode:323, Reward: -3153.791058
Episode:324, Reward: -3103.230970
Episode:325, Reward: -3144.773260
Episode:326, Reward: -3220.617191
Episode:327, Reward: -3190.041352
Episode:328, Reward: -3227.410764
Episode:329, Reward: -3197.432053
Episode:330, Reward: -3226.375968
Episode:331, Reward: -3120.397920
Episode:332, Reward: -3052.048866
Episode:333, Reward: -3163.768834
Episode:334, Reward: -3098.628066
Episode:335, Reward: -3200.251517
Episode:336, Reward: -3282.896455
Episode:337, Reward: -3110.319320
Episode:338, Reward: -3045.865608
Episode:339, Reward: -3193.249954
Episode:340, Reward: -3122.134396
Episode:341, Reward: -3087.967150
Episode:342, Reward: -3089.030409
Episode:343, Reward: -3065.223531
Episode:344, Reward: -3049.283843
Episode:345, Reward: -3167.795864
Episode:346, Reward: -3273.684019
